estado,municipio,juntas,income2020,calculo_ind,pob_tot,pob_ind,pob_no_ind,no_esp,por,por_ind,por_no_ind,por_no_esp,lat,lon,alt,pob,pob_male,pob_female,houses,ext,porcentaje_ext,densidad,localidades
00 Estados Unidos Mexicanos,000 Estados Unidos Mexicanos,,50309.31315,,,,,,,,,,,,,,,,,1960646.659,1,64.27166435,2469
01 Aguascalientes,000 Aguascalientes,,58303.33415,,,,,,,,,,22.01031718,-102.3104747,1950.76907,1423682,691522,725470,386108,5615.670196,0.002864193,253.8623085,11
01 Aguascalientes,001 Aguascalientes,,62433.1243,m,901262,59858,841218,186,1,0.066,0.933,0,21.8310373,-102.2815861,1917.316384,947612,459607,485467,266508,1178.100369,0.209788027,805.5255942,565
01 Aguascalientes,002 Asientos,,41022.52749,m,48275,1643,46632,0,1,0.034,0.966,0,22.139358,-102.0408901,2031.253165,51536,25079,26097,12544,549.0094256,0.09776383,93.87088381,172
01 Aguascalientes,003 Calvillo,,48863.5281,m,55019,2308,52564,147,1,0.042,0.955,0.003,21.8801715,-102.7159951,1817.619863,58250,28430,29584,15556,932.7372103,0.16609544,62.45060169,166
01 Aguascalientes,004 Cosío,,42930.31049,m,15959,1030,14905,24,1,0.065,0.934,0.002,22.35936907,-102.2806001,1969.608696,17000,8187,8626,3938,129.7389936,0.023103029,131.0323098,64
01 Aguascalientes,010 El Llano,,37946.54955,m,18987,776,18191,20,1,0.041,0.958,0.001,21.88142928,-102.0781462,2021.956332,20850,9773,10227,5210,509.1822991,0.090671689,40.95389812,167
01 Aguascalientes,005 Jesús María,,55616.03,m,122544,7966,114554,24,1,0.065,0.935,0,21.9470695,-102.3869716,1936.541667,129912,63968,65485,33225,504.9894536,0.089925055,257.2905218,215
01 Aguascalientes,006 Pabellón de Arteaga,,51405.38255,m,44893,1067,43826,0,1,0.024,0.976,0,22.1188014,-102.2826767,1912.365942,47646,23072,24000,11470,197.7620392,0.035216106,240.9259137,191
01 Aguascalientes,007 Rincón de Romos,,46594.35809,m,53484,2210,51260,14,1,0.041,0.958,0,22.21665228,-102.2993682,1938.176119,56926,27418,28628,13483,376.1986956,0.066990881,152.4965415,254
01 Aguascalientes,011 San Francisco de los Romo,,52960.85855,m,57999,5134,52859,6,1,0.089,0.911,0,22.0334442,-102.2545398,1915.03252,61992,30560,31153,16390,139.1875538,0.024785564,445.4205731,95
01 Aguascalientes,008 San José de Gracia,,35683.04472,m,8868,599,8269,0,1,0.068,0.932,0,22.16087703,-102.5323855,2347.508065,9515,4490,4977,2371,866.7002836,0.154336037,11.02111097,32
01 Aguascalientes,009 Tepezalá,,39294.06066,m,21182,609,20573,0,1,0.029,0.971,0,22.22645629,-102.2319677,1950.146853,22443,10938,11226,5413,232.0638727,0.041324341,96.89142794,101
02 Baja California,000 Baja California,,67820.56389,,,,,,,,,,31.90308296,-115.943081,265.0166559,3728135,1870951,1842590,1137966,71449.99481,0.036442056,52.7504587,6
02 Baja California,001 Ensenada,,61895.72609,m,422238,46148,374672,1418,1,0.109,0.887,0.003,31.7478931,-116.4032423,385.8444535,442921,218599,220333,139633,19526.80354,0.273293281,22.72809265,1688
02 Baja California,002 Mexicali,,66811.85519,m,1004592,48948,954007,1637,1,0.049,0.95,0.002,32.46705027,-115.1684381,21.92253209,1029689,515305,508537,323857,14528.31989,0.203335493,72.25832086,1970
02 Baja California,005 Playas de Rosarito,,58326.98204,m,121701,10922,109938,841,1,0.09,0.903,0.007,32.27819158,-116.9582671,110.9661017,126880,64002,62258,38131,506.2930767,0.007085978,250.6255879,283
02 Baja California,006 San Quintín,,,m,109811,43080,66513,218,1,0.392,0.606,0.002,30.07687483,-115.405335,145.0446224,117568,59056,57266,32773,32953.25175,0.461207196,3.567720749,541
02 Baja California,003 Tecate,,65057.55281,m,98206,10477,87084,645,1,0.107,0.887,0.007,32.47671788,-116.4547421,768.8910788,108355,56198,50598,31147,2861.177638,0.040044476,37.90047796,616
02 Baja California,004 Tijuana,,70948.12767,m,1829472,126104,1698024,5344,1,0.069,0.928,0.003,32.44784511,-116.8713012,224.6054422,1882408,947501,933879,565626,1074.148918,0.015033576,1789.810489,447
03 Baja California Sur,000 Baja California Sur,,64265.86441,,,,,,,,,,24.75263238,-111.0085693,198.3278265,797132,400553,389059,240256,73909.3705,0.037696425,10.80305507,5
03 Baja California Sur,001 Comondú,,52965.68752,m,69371,10296,58961,114,1,0.148,0.85,0.002,25.38051886,-111.713994,121.1532847,73028,35783,35534,22244,18318.59387,0.247852116,3.986168399,589
03 Baja California Sur,003 La Paz,,69735.49979,m,279213,24749,253969,495,1,0.089,0.91,0.002,23.97872796,-110.3679657,210.9006298,291796,144045,145062,91207,15413.73689,0.208549157,18.95977608,1018
03 Baja California Sur,009 Loreto,,54910.06167,m,17178,1493,15649,36,1,0.087,0.911,0.002,25.92728646,-111.447287,193.8832487,17956,8957,8625,5588,4415.634494,0.059743906,4.088200693,127
03 Baja California Sur,008 Los Cabos,,63831.99054,m,331218,46306,282901,2011,1,0.14,0.854,0.006,23.21188529,-109.7650592,224.4391608,350250,179441,169350,101742,3751.545096,0.050758721,93.5910381,428
03 Baja California Sur,002 Mulegé,,56464.0109,m,59781,6973,52619,189,1,0.117,0.88,0.003,27.14634945,-112.8232078,264.9651568,64102,32327,30488,19475,32009.86015,0.4330961,2.000071219,381
04 Campeche,000 Campeche,,47275.78925,,,,,,,,,,18.76254843,-90.77201323,49.06182903,928018,452610,468235,260726,57484.91225,0.029319364,16.14968108,12
04 Campeche,010 Calakmul,,24555.49351,m,29252,19374,9618,260,1,0.662,0.329,0.009,18.41595887,-89.42803457,212.6423358,31714,15882,15441,8037,13987.47101,0.243324213,2.267314797,184
04 Campeche,001 Calkiní,,37314.17886,m,56208,50141,5938,129,1,0.892,0.106,0.002,20.38744576,-90.10753394,9.340206186,42659,20953,21628,11140,2088.986026,0.036339727,28.35442615,63
04 Campeche,002 Campeche,,53414.13876,m,280245,150120,129375,750,1,0.536,0.462,0.003,19.72814901,-90.37922764,32.59866962,294056,140985,152318,85345,3224.33605,0.056090127,91.20544367,200
04 Campeche,011 Candelaria,,28689.60382,m,43810,18567,25110,133,1,0.424,0.573,0.003,18.0906306,-90.82252203,64.9902629,46844,22765,22458,13273,5669.536942,0.098626522,8.274573476,615
04 Campeche,003 Carmen,,58918.14253,m,237219,56680,180040,499,1,0.239,0.759,0.002,18.51206779,-91.38989674,13.80982456,248835,121704,124754,72115,8557.170311,0.148859413,29.08029068,782
04 Campeche,004 Champotón,,37859.77777,m,73876,37239,36597,40,1,0.504,0.495,0.001,19.16333297,-90.63144731,24.84094755,78149,38665,38868,21469,6589.739483,0.114634244,11.86238093,293
04 Campeche,009 Escárcega,,35193.92339,m,56542,20408,36092,42,1,0.361,0.638,0.001,18.59447526,-90.67335741,78.27734375,59917,29048,30135,16835,4783.28686,0.083209431,12.52757816,286
04 Campeche,005 Hecelchakán,,32766.3231,m,30540,26443,4083,14,1,0.866,0.134,0,20.13930947,-90.09929428,29.16,31917,15688,16180,8292,1274.895913,0.022177922,25.03498496,27
04 Campeche,006 Hopelchén,,34091.63718,m,39259,28130,11047,82,1,0.717,0.281,0.002,19.58946569,-89.70322918,111.6581197,42140,21245,20750,10243,7779.864962,0.135337511,5.416546458,136
04 Campeche,007 Palizada,,31241.71886,m,8269,96,8125,48,1,0.012,0.983,0.006,18.12450512,-91.91064705,4.135294118,8584,4206,4087,2523,2187.084059,0.038046228,3.970126326,130
04 Campeche,012 Seybaplaya,,,mi,14550,0,0,0,0,0,0,0,19.60188547,-90.68021761,9.568627451,15292,7608,7642,4272,284.1410927,0.004942881,53.83593007,18
04 Campeche,008 Tenabo,,34513.50374,m,10898,8989,1909,0,1,0.825,0.175,0,19.97366867,-90.22852906,19.91044776,11452,5771,5639,3066,1058.399543,0.01841178,10.82011049,28
05 Coahuila de Zaragoza,000 Coahuila de Zaragoza,,55670.653,,,,,,,,,,27.00697681,-101.5139465,915.8655781,3146587,1555852,1579226,901196,151594.7634,0.077318757,20.75778166,38
05 Coahuila de Zaragoza,001 Abasolo,,56249.75322,c,982,3,977,2,1,0.003,0.995,0.002,27.14699834,-101.311735,432.4146341,1022,509,466,363,743.1523809,0.00490223,1.375222668,17
05 Coahuila de Zaragoza,002 Acuña,,49722.27158,m,153787,1247,152472,68,1,0.008,0.991,0,29.33067004,-101.3462651,486.6016949,163044,81644,80962,47243,11464.06665,0.075623105,14.22339951,206
05 Coahuila de Zaragoza,003 Allende,,48334.37526,m,21834,254,21561,19,1,0.012,0.987,0.001,28.32395759,-100.8847534,398.8719512,23056,11382,11567,6852,251.6427133,0.00165997,91.62196553,50
05 Coahuila de Zaragoza,004 Arteaga,,46994.87117,m,28104,1032,26911,161,1,0.037,0.958,0.006,25.3666697,-100.6577319,2089.324528,29564,14343,14027,8633,1635.336475,0.010787553,18.08679771,415
05 Coahuila de Zaragoza,005 Candela,,37133.306,c,1557,13,1544,0,1,0.008,0.992,0,26.84969585,-100.7100869,489.3760684,1643,836,797,471,2118.821194,0.013976876,0.775431171,6
05 Coahuila de Zaragoza,006 Castaños,,43333.42655,m,27576,29,27505,42,1,0.001,0.997,0.002,26.65907843,-101.3855875,896.7534722,29128,14494,14469,8382,3343.065158,0.022052643,8.712962093,89
05 Coahuila de Zaragoza,007 Cuatro Ciénegas,,45420.76703,m,11971,10,11933,28,1,0.001,0.997,0.002,26.84753761,-102.0862189,931.0202429,12715,6248,6276,3777,10672.2606,0.070399929,1.191406439,94
05 Coahuila de Zaragoza,008 Escobedo,,36591.81536,c,2895,6,2888,1,1,0.002,0.998,0,27.31304055,-101.329992,444.7846154,3047,1504,1505,908,1024.905636,0.006760825,2.972956624,19
05 Coahuila de Zaragoza,009 Francisco I. Madero,,44257.64137,m,55078,739,54132,207,1,0.013,0.983,0.004,25.90248826,-103.25608,1104.309524,59013,29070,29709,15897,2810.061249,0.018536664,21.00843888,102
05 Coahuila de Zaragoza,010 Frontera,,52272.24538,m,77524,211,77143,170,1,0.003,0.995,0.002,26.96562133,-101.4834587,559.7474227,82409,41168,41165,23371,457.4602637,0.003017652,180.1446083,38
05 Coahuila de Zaragoza,011 General Cepeda,,35762.62315,m,11301,305,10987,9,1,0.027,0.972,0.001,25.44079756,-101.4989249,1413.768254,11898,5937,5673,3407,2640.861494,0.017420532,4.505347981,140
05 Coahuila de Zaragoza,012 Guerrero,,41506.40971,c,1566,76,1490,0,1,0.049,0.951,0,28.29715723,-100.4386162,265.6113744,1643,742,676,523,2926.726141,0.019306248,0.561378114,79
05 Coahuila de Zaragoza,013 Hidalgo,,28580.78861,c,1617,0,1616,1,1,0,0.999,0.001,27.83916043,-99.989423,181.6421053,1735,851,832,492,1129.805307,0.007452799,1.535662817,33
05 Coahuila de Zaragoza,014 Jiménez,,35266.75714,m,8857,53,8801,3,1,0.006,0.994,0,29.07634794,-100.8912642,317.1103203,9502,4594,4477,2729,2200.924536,0.014518473,4.317276602,114
05 Coahuila de Zaragoza,015 Juárez,,36845.56721,c,1499,3,1496,0,1,0.002,0.998,0,27.58446765,-100.6414245,277.6545455,1584,737,764,486,2458.146188,0.016215245,0.644388038,34
05 Coahuila de Zaragoza,016 Lamadrid,,42953.1337,c,1693,9,1683,1,1,0.005,0.994,0.001,27.08903889,-101.8235243,808.5675676,1764,916,827,553,673.3564425,0.004441819,2.61971207,10
05 Coahuila de Zaragoza,017 Matamoros,,44935.15274,m,112434,2745,109536,153,1,0.024,0.974,0.001,25.55379464,-103.2427435,1116.141914,118327,58133,59419,31203,806.0447646,0.005317102,146.8119454,161
05 Coahuila de Zaragoza,018 Monclova,,58174.26629,m,225734,7536,217272,926,1,0.033,0.963,0.004,26.94762138,-101.3158464,566.1503958,237951,117904,119787,69906,1251.512371,0.008255644,190.1307614,110
05 Coahuila de Zaragoza,019 Morelos,,44888.06493,m,7514,56,7449,9,1,0.007,0.991,0.001,28.38390704,-100.9143874,387.8228571,7928,3841,3933,2335,639.1440993,0.004216136,12.40408854,48
05 Coahuila de Zaragoza,020 Múzquiz,,46837.15535,m,67551,663,66825,63,1,0.01,0.989,0.001,28.06525957,-101.656114,612.509434,71616,35532,35572,20659,8288.434583,0.05467494,8.641800726,229
05 Coahuila de Zaragoza,021 Nadadores,,43552.99636,m,6271,21,6250,0,1,0.003,0.997,0,27.06713717,-101.6313897,558.7539683,6539,3193,3258,1974,716.5746981,0.004726909,9.125357087,51
05 Coahuila de Zaragoza,022 Nava,,58839.90195,m,31349,397,30942,10,1,0.013,0.987,0,28.51135758,-100.6170534,288.6312849,33128,16463,16431,9378,907.9358988,0.00598923,36.48825874,88
05 Coahuila de Zaragoza,023 Ocampo,,34291.7936,m,9022,218,8778,26,1,0.024,0.973,0.003,27.97947894,-102.8472243,1180.51358,9642,4846,4588,2672,26024.39887,0.17167083,0.370498471,127
05 Coahuila de Zaragoza,024 Parras,,44827.38532,m,41946,1364,40469,113,1,0.033,0.965,0.003,25.50294536,-102.1154692,1403.110831,44472,22345,21817,12735,10620.63226,0.070059361,4.187321328,175
05 Coahuila de Zaragoza,025 Piedras Negras,,59786.23473,m,165729,1146,164388,195,1,0.007,0.992,0.001,28.75720015,-100.5815602,240.9494382,176327,87750,87453,51732,474.432522,0.00312961,371.658754,70
05 Coahuila de Zaragoza,026 Progreso,,43758.65835,c,3051,7,3040,4,1,0.002,0.996,0.001,27.45943638,-101.0795996,377.3128834,3239,1601,1593,995,2886.532169,0.019041107,1.122107709,30
05 Coahuila de Zaragoza,027 Ramos Arizpe,,59746.81384,m,114612,4420,109701,491,1,0.039,0.957,0.004,25.74132438,-101.0769633,1179.10609,122243,61325,59345,34397,6754.391029,0.04455557,18.09830072,218
05 Coahuila de Zaragoza,028 Sabinas,,58245.2515,m,61437,1925,59382,130,1,0.031,0.967,0.002,27.88949051,-101.1334807,372.1468354,64811,32128,32514,20215,1976.254985,0.013036433,32.79485719,94
05 Coahuila de Zaragoza,029 Sacramento,,45579.31812,c,2343,3,2335,5,1,0.001,0.997,0.002,27.0128726,-101.7556637,602.7428571,2471,1222,1215,725,289.3669843,0.001908819,8.539329412,14
05 Coahuila de Zaragoza,030 Saltillo,,62713.72265,m,832694,21289,805902,5503,1,0.026,0.968,0.007,25.21549592,-101.1310772,1858.749004,879894,437380,441880,242644,5619.577958,0.037069737,156.5879158,305
05 Coahuila de Zaragoza,031 San Buenaventura,,51011.14119,m,23518,313,23095,110,1,0.013,0.982,0.005,27.34450066,-101.6954847,684.7309237,24753,12135,12394,7624,6443.052656,0.042501815,3.842743699,99
05 Coahuila de Zaragoza,032 San Juan de Sabinas,,54450.09942,m,39984,118,39620,246,1,0.003,0.991,0.006,27.95947892,-101.3141708,388.0497238,42258,20832,21283,13100,802.3976484,0.005293043,52.66715335,66
05 Coahuila de Zaragoza,033 San Pedro,,41269.15726,m,95073,362,94469,242,1,0.004,0.994,0.003,25.79369391,-103.0338057,1094.013752,101018,49594,50843,26584,7143.98204,0.04712552,14.1435126,267
05 Coahuila de Zaragoza,034 Sierra Mojada,,38887.19296,m,6088,33,6043,12,1,0.005,0.993,0.002,27.57844204,-103.6589423,1292.438356,6744,3431,3153,1937,7921.737591,0.052256011,0.851328376,62
05 Coahuila de Zaragoza,035 Torreón,,56151.24538,m,683505,16130,664834,2541,1,0.024,0.973,0.004,25.48199835,-103.3521285,1151.877193,720848,351707,369062,215134,1282.732375,0.008461588,561.9628957,58
05 Coahuila de Zaragoza,036 Viesca,,35416.36623,m,19093,421,18624,48,1,0.022,0.975,0.003,25.32685464,-103.1864184,1168.263566,20305,10166,10028,5356,4401.759263,0.029036354,4.612928329,83
05 Coahuila de Zaragoza,037 Villa Unión,,40080.52472,m,5790,149,5614,27,1,0.026,0.97,0.005,28.20328719,-100.7832959,408.5966387,6188,3057,3016,1820,1854.532916,0.012233489,3.336689226,58
05 Coahuila de Zaragoza,038 Zaragoza,,44974.06607,m,12400,111,12279,10,1,0.009,0.99,0.001,28.71014341,-101.141766,464.8549618,13118,6292,6450,3984,7938.74331,0.05236819,1.654543986,175
06 Colima,000 Colima,,56297.27794,,,,,,,,,,19.14803459,-103.8564424,439.0090059,731367,358345,369255,227043,5626.884507,0.002869913,129.9815198,10
06 Colima,001 Armería,,47740.34167,m,26295,2241,24042,12,1,0.085,0.914,0,18.96771108,-103.9822953,52.97674419,27626,13822,13598,8236,408.7997187,0.072651166,67.57832439,82
06 Colima,002 Colima,,59459.13811,m,149093,21388,127612,93,1,0.143,0.856,0.001,19.17033679,-103.6824314,458.0497512,157046,75917,80697,50439,745.9955378,0.132577013,210.5213665,171
06 Colima,003 Comala,,43446.23699,m,20847,10414,10384,49,1,0.5,0.498,0.002,19.38125023,-103.7420676,980.1616766,21641,10731,10650,6304,314.3421177,0.055864327,68.90899686,115
06 Colima,004 Coquimatlán,,40751.21485,m,19909,2811,17090,8,1,0.141,0.858,0,19.19785432,-103.8441605,326.9459459,20837,10329,10249,6192,526.9874761,0.093655286,39.53983907,101
06 Colima,005 Cuauhtémoc,,55660.4527,m,29986,3974,25998,14,1,0.133,0.867,0,19.33097522,-103.6083223,979.0958904,31265,15606,15455,9331,412.256244,0.073265453,75.84360567,79
06 Colima,006 Ixtlahuacán,,39592.02795,m,5406,2605,2801,0,1,0.482,0.518,0,18.96662464,-103.6888937,219.6376812,5623,2850,2705,1713,376.7590648,0.066956957,14.92465749,40
06 Colima,007 Manzanillo,,58623.3525,m,182103,10341,171070,692,1,0.057,0.939,0.004,19.1207784,-104.3335371,115.8655462,191031,94658,95759,59803,1350.85834,0.240072164,141.4145321,151
06 Colima,008 Minatitlán,,48105.99041,m,9721,2740,6967,14,1,0.282,0.717,0.001,19.37654929,-104.0503877,899.8190476,10231,5203,4968,2914,414.8983624,0.073735006,24.65905129,38
06 Colima,009 Tecomán,,50803.11821,m,110480,18768,91700,12,1,0.17,0.83,0,18.89229316,-103.8798577,38.96625767,116305,56956,57825,33020,787.9819217,0.140038759,147.5985639,384
06 Colima,010 Villa de Álvarez,,60148.6841,m,144321,16639,127568,114,1,0.115,0.884,0.001,19.31941026,-103.7742263,746.1744186,149762,72273,77349,49091,288.0057245,0.05118387,519.9966086,65
07 Chiapas,000 Chiapas,,29167.58869,,,,,,,,,,16.36688995,-92.77255875,691.9060951,5543726,2678983,2816757,1351604,73310.96291,0.037391216,75.62072274,124
07 Chiapas,001 Acacoyagua,,27346.33628,m,16832,232,16556,44,1,0.014,0.984,0.003,15.38480381,-92.69976761,287.6875,17994,8847,8878,4416,248.0395045,0.003383389,72.54489577,116
07 Chiapas,002 Acala,,29835.02954,m,19953,2566,17324,63,1,0.129,0.868,0.003,16.51994164,-92.82102054,455.8618421,21187,10264,10636,5431,304.5691137,0.004154483,69.56384954,101
07 Chiapas,003 Acapetahua,,25838.23846,m,25197,394,24699,104,1,0.016,0.98,0.004,15.26833002,-92.7556243,16.264,26899,12879,13442,7608,559.8007742,0.007635976,48.05102322,207
07 Chiapas,113 Aldama,,14549.65614,c,7796,7732,64,0,1,0.992,0.008,0,16.91936565,-92.69085278,1737.347826,8480,4037,4429,1653,26.8095263,0.000365696,316.3054768,22
07 Chiapas,004 Altamirano,,19344.47154,m,33725,30244,3481,0,1,0.897,0.103,0,16.65129022,-91.85777569,1116.891192,36160,17911,18018,7973,955.1052902,0.013028137,37.85970026,175
07 Chiapas,005 Amatán,,18370.4748,m,22614,17619,4972,23,1,0.779,0.22,0.001,17.38833284,-92.85130921,565.3311688,24512,12238,12146,5665,315.9310548,0.004309465,77.58654816,134
07 Chiapas,006 Amatenango de la Frontera,,21079.64929,m,29790,3304,26403,83,1,0.111,0.886,0.003,15.5575926,-92.09515545,1062.296,31735,15414,16294,7580,253.5666536,0.003458782,125.1544694,113
07 Chiapas,007 Amatenango del Valle,,21413.62326,c,10496,9613,882,1,1,0.916,0.084,0,16.50637886,-92.35945852,2182.857143,11283,5368,5905,2561,152.0949439,0.002074655,74.18392561,50
07 Chiapas,008 Angel Albino Corzo,,25190.1529,m,29769,2345,27389,35,1,0.079,0.92,0.001,15.74131542,-92.66750462,1120.974359,31947,15766,15931,7299,580.8899267,0.007923643,54.99665002,91
07 Chiapas,009 Arriaga,,39868.25304,m,39158,2972,36113,73,1,0.076,0.922,0.002,16.21599226,-93.9375843,83.17316017,41135,19561,20855,12362,807.7505168,0.011018141,50.92537751,250
07 Chiapas,010 Bejucal de Ocampo,,18571.94906,m,6917,494,6417,6,1,0.071,0.928,0.001,15.48938581,-92.15836514,1968.5,7363,3645,3706,1566,78.72113874,0.001073798,93.55809784,37
07 Chiapas,011 Bella Vista,,19127.01028,m,18998,846,18099,53,1,0.045,0.953,0.003,15.61671957,-92.23599483,1421.572917,20157,9976,10133,4523,213.7228584,0.002915292,94.31373019,86
07 Chiapas,114 Benemérito de las Américas,,24500.45563,m,21537,10525,10977,35,1,0.489,0.51,0.002,16.38064362,-90.57226023,146.4246575,23603,11759,11743,5476,1092.951121,0.014908427,21.59565927,49
07 Chiapas,012 Berriozábal,,30934.84167,m,61064,5257,55778,29,1,0.086,0.913,0,16.82968439,-93.30319311,883.3577406,64632,31403,32238,16200,351.9715219,0.004801076,183.6284926,308
07 Chiapas,013 Bochil,,21384.4587,m,34226,21862,12206,158,1,0.639,0.357,0.005,17.00714537,-92.92728194,1294.790123,37263,18201,19049,8413,365.2050861,0.004981589,102.0330806,77
07 Chiapas,015 Cacahoatán,,30473.8517,m,46693,800,45827,66,1,0.017,0.981,0.001,15.0551721,-92.17041057,846.8448276,50052,24325,25586,12136,174.1567009,0.002375589,287.7408664,106
07 Chiapas,120 Capitán Luis Ángel Vidal,,,c,4044,22,4022,0,1,0.005,0.995,0,15.57330588,-92.60449406,1487.591837,4315,2219,2000,805,225.4108045,0.003074722,19.14282685,43
07 Chiapas,016 Catazajá,,30207.15851,m,16532,2007,14509,16,1,0.121,0.878,0.001,17.73446118,-92.01939661,19.92653061,17619,8649,8528,4788,629.7282272,0.008589823,27.97873629,184
07 Chiapas,022 Chalchihuitán,,15240.76406,c,19725,19517,208,0,1,0.989,0.011,0,17.00583187,-92.59875627,1323.507937,21915,10873,11042,4819,185.2907663,0.002527463,118.2735678,57
07 Chiapas,023 Chamula,,20899.12548,c,93789,92210,1563,16,1,0.983,0.017,0,16.8191407,-92.67859961,2246.85,101967,46947,55017,22655,344.60598,0.004700606,295.8944589,157
07 Chiapas,024 Chanal,,14857.80778,c,12218,12113,101,4,1,0.991,0.008,0,16.6228943,-92.20347705,2019.9,13678,6734,6944,2189,406.6897358,0.005547461,33.63251834,19
07 Chiapas,025 Chapultenango,,22195.04001,m,6861,6523,335,3,1,0.951,0.049,0,17.3318148,-93.12759417,691.0571429,7472,3723,3725,1724,181.4244082,0.002474724,41.18519705,32
07 Chiapas,026 Chenalhó,,16950.6455,c,43564,42426,1137,1,1,0.974,0.026,0,16.9519389,-92.5754621,1483.557823,47371,23177,24168,9505,251.3260736,0.00342822,188.4842242,145
07 Chiapas,027 Chiapa de Corzo,,29947.01008,m,106045,5664,100284,97,1,0.053,0.946,0.001,16.60878713,-92.98905804,502.3333333,112075,54568,56555,29653,789.0262261,0.010762732,142.0421734,327
07 Chiapas,028 Chiapilla,,23024.4699,m,5841,423,5417,1,1,0.072,0.927,0,16.55404561,-92.72926894,475.0555556,6156,3104,3048,1627,51.40296691,0.000701163,119.7596242,7
07 Chiapas,029 Chicoasén,,27772.47027,m,5068,633,4417,18,1,0.125,0.872,0.004,16.99811908,-93.11396164,707.56,5402,2697,2698,1476,115.3357104,0.00157324,46.83718494,19
07 Chiapas,030 Chicomuselo,,22937.46145,m,34528,1742,32770,16,1,0.05,0.949,0,15.76272883,-92.36198982,807.6907216,36785,17953,18463,8809,996.048624,0.013586626,36.93092798,217
07 Chiapas,031 Chilón,,18587.20081,m,125909,124170,1739,0,1,0.986,0.014,0,17.09856159,-92.12244709,975.7316076,137262,67219,69826,26658,1674.483991,0.02284084,81.97271561,687
07 Chiapas,017 Cintalapa,,29961.11129,m,81619,10025,71286,308,1,0.123,0.873,0.004,16.66054337,-93.83602923,664.5036573,88104,41495,43406,21774,2440.448326,0.033288996,36.10238294,604
07 Chiapas,018 Coapilla,,21771.40969,m,9184,6149,3035,0,1,0.67,0.33,0,17.11482432,-93.12491851,1373.804878,9900,4855,5013,2447,155.0102902,0.002114422,63.86672775,30
07 Chiapas,019 Comitán de Domínguez,,33638.28088,m,157331,11966,145365,0,1,0.076,0.924,0,16.24725555,-92.17535634,1584.257979,166178,79163,86464,44451,977.8430163,0.013338292,169.9434339,331
07 Chiapas,021 Copainalá,,30553.46563,m,20848,12351,8458,39,1,0.592,0.406,0.002,17.10458997,-93.24211915,705.2339181,22192,10720,11280,6057,346.4131506,0.004725257,64.06223308,114
07 Chiapas,014 El Bosque,,18802.67306,c,22353,21212,1139,2,1,0.949,0.051,0,17.01900334,-92.74630897,1103.596774,24273,11675,12524,5051,159.1549099,0.002170956,152.5117888,60
07 Chiapas,122 El Parral,,,m,14837,939,13863,35,1,0.063,0.934,0.002,16.32189604,-92.99198897,701.0769231,15587,7421,7863,4266,369.9224706,0.005045937,42.13585613,84
07 Chiapas,070 El Porvenir,,18736.44996,m,11490,2438,9033,19,1,0.212,0.786,0.002,15.43231818,-92.26487245,2415.910714,12263,6094,6155,2403,82.66093516,0.001127539,148.3530277,56
07 Chiapas,123 Emiliano Zapata,,,m,10253,2971,7282,0,1,0.29,0.71,0,16.52474136,-92.88848115,500.6853147,10783,5256,5315,2839,218.2101837,0.002976501,49.41565888,93
07 Chiapas,032 Escuintla,,26191.14281,m,28951,1827,27047,77,1,0.063,0.934,0.003,15.33346749,-92.58103382,467.0530612,30896,15045,15549,7882,416.8875505,0.005686565,74.11111213,196
07 Chiapas,033 Francisco León,,17737.72399,m,6727,6297,416,14,1,0.936,0.062,0.002,17.28227133,-93.28812465,614.3269231,7245,3662,3568,1511,210.0940223,0.002865793,34.4845604,37
07 Chiapas,034 Frontera Comalapa,,28513.72886,m,75665,6311,69354,0,1,0.083,0.917,0,15.74167436,-92.07180707,652.6109325,80897,38897,41503,20195,764.4673435,0.010427736,105.8213941,255
07 Chiapas,035 Frontera Hidalgo,,28097.80179,m,13489,96,13364,29,1,0.007,0.991,0.002,14.7517266,-92.20745593,42.4,14556,7076,7380,3695,94.04216175,0.001282784,154.7816397,15
07 Chiapas,125 Honduras de la Sierra,,,mi,10882,0,0,0,0,0,0,0,15.56395799,-92.46334572,1466.058824,11650,5864,5728,2344,267.0561205,0.003642786,43.62378956,63
07 Chiapas,037 Huehuetán,,31627.43131,m,34353,908,33439,6,1,0.026,0.973,0,15.03139568,-92.40202626,128.440678,36333,17660,18571,9564,303.1722196,0.004135428,119.8427747,96
07 Chiapas,039 Huitiupán,,18621.32989,m,25732,20434,5262,36,1,0.794,0.204,0.001,17.23397552,-92.70650772,578.6764706,27893,13956,13869,6279,339.104199,0.004625559,82.25495315,93
07 Chiapas,038 Huixtán,,18789.37586,m,21364,20195,1119,50,1,0.945,0.052,0.002,16.70440713,-92.39625175,2048.835821,22975,11264,11711,4600,310.7752869,0.004239138,73.92801477,66
07 Chiapas,040 Huixtla,,35821.40251,m,50093,3881,46205,7,1,0.077,0.922,0,15.14328323,-92.51272796,239.8864629,53242,25592,26958,14285,396.1355838,0.005403497,134.4034775,191
07 Chiapas,042 Ixhuatán,,20465.1336,m,10471,6811,3622,38,1,0.65,0.346,0.004,17.29816837,-93.00825952,920.4038462,11377,5507,5812,2611,94.36463348,0.001287183,120.5642366,37
07 Chiapas,043 Ixtacomitán,,27264.04389,m,10290,6439,3831,20,1,0.626,0.372,0.002,17.42753354,-93.09434001,274.1527778,10961,5379,5500,2659,125.2508592,0.001708487,87.51237371,59
