estado,municipio,juntas,income2020,calculo_ind,pob_tot,pob_ind,pob_no_ind,no_esp,por,por_ind,por_no_ind,por_no_esp,lat,lon,alt,pob,pob_male,pob_female,houses,ext,porcentaje_ext,densidad,localidades
30 Veracruz de Ignacio de la Llave,062 Chocamán,,25920.88708,m,19662,3645,16002,15,1,0.185,0.814,0.001,18.9974526,-97.04379915,1410.85,20763,10232,10525,5189,44.31764055,0.000617036,470.2190762,19
30 Veracruz de Ignacio de la Llave,063 Chontla,,26379.38971,m,12769,9060,3680,29,1,0.71,0.288,0.002,21.39272723,-97.97937684,128.3684211,13359,6440,6759,4138,390.4867352,0.005436756,34.21114931,98
30 Veracruz de Ignacio de la Llave,064 Chumatlán,,22942.78498,c,3793,3713,79,1,1,0.979,0.021,0,20.21992743,-97.58565857,177.1428571,4008,1894,2114,1112,22.99202918,0.000320119,174.3212819,6
30 Veracruz de Ignacio de la Llave,035 Citlaltépetl,,26641.31932,m,10644,8538,2054,52,1,0.802,0.193,0.005,21.34625011,-97.89345074,191.9428571,11165,5470,5684,3356,81.2513481,0.001131265,137.4131047,27
30 Veracruz de Ignacio de la Llave,036 Coacoatzintla,,27377.5554,m,10410,1489,8918,3,1,0.143,0.857,0,19.67457135,-96.94878909,1717.73913,11018,5326,5685,2873,43.94361096,0.000611828,250.7304193,20
30 Veracruz de Ignacio de la Llave,037 Coahuitlán,,19066.49953,m,7744,7372,359,13,1,0.952,0.046,0.002,20.27794069,-97.70042631,240.9230769,8176,3976,4174,1973,41.76283627,0.000581465,195.7721441,12
30 Veracruz de Ignacio de la Llave,038 Coatepec,,28305.16265,m,89364,12683,76632,49,1,0.142,0.858,0.001,19.45305985,-96.94100802,1205.193939,93860,44928,48668,27357,202.3175465,0.002816872,464.1762498,122
30 Veracruz de Ignacio de la Llave,039 Coatzacoalcos,,42012.78192,m,297342,88176,206920,2246,1,0.297,0.696,0.008,18.12618567,-94.37162462,27.18478261,310838,147865,161471,98267,311.9324199,0.004343043,996.0426689,69
30 Veracruz de Ignacio de la Llave,040 Coatzintla,,40720.79548,m,53028,13864,38944,220,1,0.261,0.734,0.004,20.45040016,-97.51081816,115.3150685,55002,26193,28633,16155,277.6646192,0.003865931,198.1383158,88
30 Veracruz de Ignacio de la Llave,041 Coetzala,,23735.41903,c,2247,1871,376,0,1,0.833,0.167,0,18.7739438,-96.9236996,853,2355,1152,1194,641,9.44048229,0.00013144,249.4575942,5
30 Veracruz de Ignacio de la Llave,042 Colipa,,27526.18069,m,5487,177,5310,0,1,0.032,0.968,0,19.93222174,-96.70252026,236.9855072,5743,2818,2880,1847,130.412576,0.001815738,44.03716403,54
30 Veracruz de Ignacio de la Llave,043 Comapa,,24716.56558,m,18870,6697,12116,57,1,0.355,0.642,0.003,19.13946764,-96.71522086,596.739726,19876,9945,9867,5362,310.9150002,0.004328877,63.92743993,72
30 Veracruz de Ignacio de la Llave,044 Córdoba,,43620.64169,m,195714,19409,175407,898,1,0.099,0.896,0.005,18.92249366,-96.94649604,986.2924528,204458,95818,108617,61877,159.8535733,0.002225645,1280.678284,95
30 Veracruz de Ignacio de la Llave,045 Cosamaloapan de Carpio,,39784.33965,m,52509,7001,45481,27,1,0.133,0.866,0.001,18.2972489,-95.961205,9.952380952,54682,25779,28760,18394,519.1319851,0.007227887,105.4394674,104
30 Veracruz de Ignacio de la Llave,046 Cosautlán de Carvajal,,29235.28569,m,15390,1125,14229,36,1,0.073,0.925,0.002,19.3291049,-96.97761413,1149.9,16167,7971,8182,4457,76.59617873,0.00106645,211.0679706,29
30 Veracruz de Ignacio de la Llave,047 Coscomatepec,,25611.77795,m,55494,4848,50627,19,1,0.087,0.912,0,19.06303515,-97.07387497,1769.046154,59451,28694,30741,14323,158.1052503,0.002201303,376.1481663,65
